date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/3/25,-31,-76,-69,-53,-64,-37,-41,-43,-84,-58,-60,-83,2,-82,-37,-45,-38,-45,-76,-16,-70,-87,-19,-70,-14,-73,-40
2020/3/26,-34,-77,-69,-54,-65,-36,-44,-44,-84,-59,-60,-84,0,-82,-37,-47,-92,-43,-76,-18,-69,-87,-18,-70,-13,-74,-40
2020/3/27,-35,-78,-67,-55,-64,-39,-55,-45,-84,-59,-63,-83,-10,-82,-39,-48,-91,-42,-77,-20,-68,-88,-19,-69,-13,-76,-42
2020/3/28,-41,-83,-70,-59,-71,-43,-62,-51,-87,-66,-80,-87,-18,-84,-40,-54,-92,-47,-78,-23,-72,-92,-24,-73,-21,-83,-48
2020/3/29,-45,-84,-71,-59,-73,-37,-60,-52,-88,-77,-83,-94,-26,-90,-45,-65,-91,-65,-81,-28,-82,-94,-24,-81,-9,-85,-47
2020/3/30,-39,-76,-62,-54,-61,-33,-53,-47,-84,-54,-73,-81,-7,-79,-35,-44,-88,-37,-79,-21,-61,-89,-22,-71,-14,-74,-40
2020/3/31,-41,-75,-60,-51,-62,-23,-53,-49,-90,-53,-73,-90,-4,-81,-35,-40,-87,-36,-79,-20,-62,-92,-22,-84,-11,-74,-40
2020/4/1,-40,-76,-58,-52,-61,-32,-52,-45,-90,-52,-75,-90,-20,-81,-37,-44,-87,-36,-79,-23,-62,-92,-22,-84,-10,-75,-37
2020/4/2,-42,-77,-59,-53,-60,-34,-54,-47,-90,-54,-74,-90,-12,-81,-47,-47,-88,-37,-80,-25,-60,-92,-27,-84,-1,-75,-40
2020/4/3,-40,-79,-60,-55,-63,-35,-56,-48,-86,-57,-74,-85,-14,-82,-56,-48,-89,-35,-80,-21,-62,-89,-25,-79,-1,-76,-42
2020/4/4,-44,-82,-63,-57,-70,-38,-59,-49,-88,-63,-78,-89,-21,-84,-57,-51,-91,-40,-80,-24,-68,-92,-26,-82,-24,-81,-48
2020/4/5,-44,-76,-67,-63,-63,-22,-54,-47,-85,-58,-81,-95,-25,-85,-62,-54,-90,-60,-82,-23,-77,-94,-25,-76,-22,-82,-49
2020/4/6,-37,-74,-56,-51,-54,-15,-45,-41,-83,-43,-68,-83,-13,-77,-54,-36,-88,-16,-78,-15,-51,-87,-12,-76,-20,-73,-42
2020/4/7,-38,-72,-53,-52,-63,-13,-44,-41,-82,-44,-66,-81,-12,-78,-53,-35,-88,-12,-77,-51,-61,-89,-13,-72,-15,-73,-42
2020/4/8,-35,-73,-52,-51,-62,-9,-41,-37,-84,-42,-69,-82,-22,-78,-52,-37,-87,-11,-76,-59,-71,-88,-8,-72,-16,-73,-42
2020/4/9,-28,-73,-49,-44,-54,-40,-39,-31,-83,-40,-68,-81,-24,-77,-58,-38,-86,-80,-85,-57,-70,-93,-3,-70,-13,-71,-43
2020/4/10,-76,-75,-76,-70,-74,-60,-60,-67,-83,-80,-73,-81,-26,-78,-71,-39,-95,-81,-90,-63,-92,-96,-45,-87,-8,-78,-43
2020/4/11,-40,-79,-59,-54,-67,-31,-57,-51,-86,-56,-76,-86,-30,-82,-66,-46,-88,-43,-82,-61,-79,-92,-41,-77,-18,-81,-45
2020/4/12,-58,-75,-67,-74,-63,-36,-61,-62,-83,-63,-90,-96,-40,-86,-65,-71,-92,-63,-82,-64,-86,-94,-34,-78,-14,-89,-63
2020/4/13,-45,-86,-54,-55,-89,-56,-43,-62,-91,-81,-77,-96,-38,-93,-54,-57,-91,-80,-76,-60,-92,-90,-38,-86,-11,-78,-45
2020/4/14,-37,-73,-56,-50,-64,-15,-47,-45,-79,-45,-68,-81,-23,-76,-54,-40,-89,-26,-76,-58,-67,-87,-19,-73,-11,-71,-40
2020/4/15,-37,-74,-54,-50,-62,-23,-45,-42,-82,-45,-69,-80,-24,-77,-51,-38,-88,-29,-76,-60,-65,-88,-19,-74,-13,-72,-36
2020/4/16,-39,-73,-56,-49,-56,-23,-46,-43,-81,-53,-84,-79,-27,-81,-51,-40,-89,-28,-77,-61,-61,-88,-19,-72,-11,-73,-39
2020/4/17,-37,-75,-55,-53,-58,-26,-46,-42,-81,-55,-85,-79,-31,-81,-55,-41,-90,-24,-79,-60,-63,-89,-18,-72,-8,-75,-42
2020/4/18,-43,-80,-61,-54,-61,-33,-54,-47,-86,-65,-87,-85,-48,-85,-59,-49,-91,-31,-81,-65,-71,-92,-25,-76,-11,-81,-45
2020/4/19,-45,-76,-67,-60,-64,-21,-52,-45,-85,-59,-88,-94,-40,-85,-62,-51,-91,-41,-83,-66,-85,-95,-22,-74,-10,-80,-45
2020/4/20,-39,-66,-53,-46,-55,-14,-41,-39,-79,-44,-83,-79,-37,-70,-55,-31,-89,-17,-78,-65,-59,-87,-12,-70,-14,-71,-39
2020/4/21,-39,-66,-71,-50,-54,-15,-40,-38,-79,-47,-83,-79,-31,-72,-58,-32,-87,-20,-79,-64,-62,-87,-13,-71,-18,-72,-38
2020/4/22,-38,-68,-53,-50,-54,-18,-39,-39,-81,-46,-83,-79,-36,-73,-58,-34,-87,-22,-80,-66,-61,-87,-13,-70,-19,-72,-38
2020/4/23,-39,-67,-56,-49,-54,-18,-40,-39,-79,-47,-82,-78,-36,-71,-59,-35,-88,-22,-80,-68,-60,-87,-13,-70,-21,-72,-40
2020/4/24,-36,-71,-55,-52,-56,-25,-44,-41,-79,-50,-83,-75,-37,-73,-61,-36,-88,-25,-81,-70,-62,-88,-13,-70,-17,-73,-40
2020/4/25,-52,-75,-59,-51,-63,-29,-51,-46,-84,-57,-85,-93,-41,-75,-62,-41,-89,-29,-81,-68,-69,-92,-16,-74,-15,-78,-41
